Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
Nasum Ahmed (BAN),2022-2022,1.0,4.0,,24.0,14.0,1.0,14-Jan,14.0,3.5,24.0,,,
JO Holder (WI),2022-2022,3.0,10.2,,62.0,49.0,5.0,12-Mar,9.8,4.74,12.4,,,
Zahoor Khan (UAE),2022-2022,3.0,12.0,,72.0,57.0,5.0,20-Feb,11.4,4.75,14.4,,,
Aayan Afzal Khan (UAE),2022-2022,3.0,8.0,,48.0,38.0,2.0,15-Jan,19.0,4.75,24.0,,,
BM Scholtz (NAM),2022-2022,3.0,12.0,,72.0,61.0,4.0,18-Feb,15.25,5.08,18.0,,,
MG Erasmus (NAM),2022-2022,3.0,4.0,,24.0,21.0,,,,5.25,,,,
Naveen-ul-Haq (AFG),2022-2022,1.0,4.0,,24.0,21.0,3.0,21-Mar,7.0,5.25,8.0,,,
CN Ackermann (NED),2022-2022,8.0,7.0,,42.0,37.0,1.0,17-Jan,37.0,5.28,42.0,,,
A Nortje (SA),2022-2022,5.0,17.3,,105.0,94.0,11.0,10-Apr,8.54,5.37,9.5,2.0,,
R Trumpelmann (NAM),2022-2022,1.0,4.0,,24.0,22.0,,,,5.5,,,,
Mustafizur Rahman (BAN),2022-2022,5.0,20.0,,120.0,112.0,3.0,15-Feb,37.33,5.6,40.0,,,
MRJ Watt (SCOT),2022-2022,3.0,12.0,,72.0,70.0,5.0,12-Mar,14.0,5.83,14.4,,,
TJG Pringle (NED),2022-2022,6.0,17.0,,102.0,102.0,3.0,10-Jan,34.0,6.0,34.0,,,
AU Rashid (ENG),2022-2022,6.0,24.0,1,144.0,147.0,4.0,22-Feb,36.75,6.12,36.0,,,
Shaheen Shah Afridi (PAK),2022-2022,7.0,25.1,,151.0,155.0,11.0,22-Apr,14.09,6.15,13.7,1.0,,
B Kumar (IND),2022-2022,6.0,18.4,3,112.0,115.0,4.0,9-Feb,28.75,6.16,28.0,,,
SC Williams (ZIM),2022-2022,8.0,18.0,,108.0,111.0,5.0,9-Feb,22.2,6.16,21.6,,,
D Wiese (NAM),2022-2022,3.0,10.3,,63.0,65.0,3.0,16-Feb,21.66,6.19,21.0,,,
Naseem Shah (PAK),2022-2022,7.0,26.0,,156.0,162.0,3.0,11-Jan,54.0,6.23,52.0,,,
KP Meiyappan (UAE),2022-2022,3.0,12.0,,72.0,75.0,5.0,19-Mar,15.0,6.25,14.4,,,
AC Agar (AUS),2022-2022,1.0,4.0,,24.0,25.0,1.0,25-Jan,25.0,6.25,24.0,,,
Shadab Khan (PAK),2022-2022,7.0,26.0,,156.0,165.0,11.0,22-Mar,15.0,6.34,14.1,,,
FJ Klaassen (NED),2022-2022,8.0,30.0,,180.0,191.0,8.0,13-Feb,23.87,6.36,22.5,,,
WD Parnell (SA),2022-2022,5.0,16.0,1,96.0,102.0,5.0,15-Mar,20.4,6.37,19.2,,,
PA van Meekeren (NED),2022-2022,8.0,31.0,,186.0,198.0,11.0,29-Mar,18.0,6.38,16.9,,,
Rashid Khan (AFG),2022-2022,3.0,12.0,,72.0,77.0,4.0,Feb-31,19.25,6.41,18.0,,,
PW Hasaranga (SL),2022-2022,8.0,31.0,1,186.0,199.0,15.0,8-Mar,13.26,6.41,12.4,,,
MJ Santner (NZ),2022-2022,5.0,20.0,,120.0,129.0,9.0,31-Mar,14.33,6.45,13.3,,,
Sikandar Raza (ZIM),2022-2022,8.0,24.0,,144.0,156.0,10.0,19-Mar,15.6,6.5,14.4,,,
Fazalhaq Farooqi (AFG),2022-2022,3.0,11.3,1,69.0,75.0,3.0,Feb-29,25.0,6.52,23.0,,,
SM Curran (ENG),2022-2022,6.0,22.4,,136.0,148.0,13.0,10-May,11.38,6.52,10.4,,1.0,
JN Frylinck (NAM),2022-2022,3.0,11.0,1,66.0,72.0,3.0,26-Feb,24.0,6.54,22.0,,,
TG Southee (NZ),2022-2022,5.0,17.2,1,104.0,114.0,7.0,6-Mar,16.28,6.57,14.8,,,
A Zampa (AUS),2022-2022,3.0,12.0,,72.0,80.0,5.0,19-Feb,16.0,6.66,14.4,,,
M Theekshana (SL),2022-2022,8.0,30.1,,181.0,202.0,9.0,15-Feb,22.44,6.69,20.1,,,
MA Leask (SCOT),2022-2022,3.0,10.0,,60.0,67.0,4.0,15-Feb,16.75,6.7,15.0,,,
IS Sodhi (NZ),2022-2022,5.0,19.2,,116.0,130.0,6.0,21-Feb,21.66,6.72,19.3,,,
TL Chatara (ZIM),2022-2022,7.0,23.0,1,138.0,155.0,4.0,14-Feb,38.75,6.73,34.5,,,
BD Glover (NED),2022-2022,3.0,8.5,1,53.0,60.0,7.0,9-Mar,8.57,6.79,7.5,,,
BA Stokes (ENG),2022-2022,6.0,16.2,,98.0,111.0,6.0,19-Feb,18.5,6.79,16.3,,,
RE van der Merwe (NED),2022-2022,6.0,11.0,,66.0,75.0,2.0,6-Jan,37.5,6.81,33.0,,,
DM de Silva (SL),2022-2022,8.0,12.1,,73.0,83.0,6.0,24-Feb,13.83,6.82,12.1,,,
Haris Rauf (PAK),2022-2022,7.0,26.0,1,156.0,178.0,8.0,23-Feb,22.25,6.84,19.5,,,
PVD Chameera (SL),2022-2022,2.0,7.5,,47.0,54.0,4.0,15-Mar,13.5,6.89,11.7,,,
AS Joseph (WI),2022-2022,3.0,12.0,,72.0,83.0,6.0,16-Apr,13.83,6.91,12.0,1.0,,
BTJ Wheal (SCOT),2022-2022,3.0,12.0,,72.0,83.0,4.0,Feb-32,20.75,6.91,18.0,,,
JB Little (IRE),2022-2022,7.0,27.0,,162.0,189.0,11.0,22-Mar,17.18,7.0,14.7,,,
GH Dockrell (IRE),2022-2022,7.0,8.0,,48.0,56.0,1.0,5-Jan,56.0,7.0,48.0,,,
T Shamsi (SA),2022-2022,2.0,8.0,,48.0,56.0,4.0,20-Mar,14.0,7.0,12.0,,,
R Ngarava (ZIM),2022-2022,8.0,28.0,1,168.0,197.0,9.0,18-Feb,21.88,7.03,18.6,,,
Mohammed Shami (IND),2022-2022,6.0,20.0,,120.0,143.0,6.0,14-Feb,23.83,7.15,20.0,,,
JJ Smit (NAM),2022-2022,3.0,11.0,,66.0,79.0,3.0,24-Feb,26.33,7.18,22.0,,,
Taskin Ahmed (BAN),2022-2022,5.0,18.0,1,108.0,131.0,8.0,25-Apr,16.37,7.27,13.5,1.0,,
Mohammad Wasim (PAK),2022-2022,6.0,17.0,,102.0,124.0,8.0,24-Apr,15.5,7.29,12.7,1.0,,
Mujeeb Ur Rahman (AFG),2022-2022,3.0,12.0,,72.0,88.0,4.0,24-Feb,22.0,7.33,18.0,,,
B Fernando (SL),2022-2022,3.0,8.5,,53.0,65.0,2.0,27-Jan,32.5,7.35,26.5,,,
TA Boult (NZ),2022-2022,5.0,20.0,,120.0,148.0,8.0,13-Apr,18.5,7.4,15.0,1.0,,
Basil Hameed (UAE),2022-2022,3.0,5.0,,30.0,37.0,3.0,17-Feb,12.33,7.4,10.0,,,
KA Maharaj (SA),2022-2022,4.0,12.0,,72.0,89.0,3.0,27-Feb,29.66,7.41,24.0,,,
Mohammad Nawaz (PAK),2022-2022,7.0,9.0,,54.0,67.0,3.0,Feb-42,22.33,7.44,18.0,,,
OC McCoy (WI),2022-2022,3.0,9.3,,57.0,71.0,1.0,19-Jan,71.0,7.47,57.0,,,
Pramod Madushan (SL),2022-2022,3.0,10.0,,60.0,75.0,3.0,Feb-37,25.0,7.5,20.0,,,
CBRLS Kumara (SL),2022-2022,6.0,20.1,,121.0,153.0,7.0,24-Feb,21.85,7.58,17.2,,,
LV van Beek (NED),2022-2022,6.0,16.2,,98.0,125.0,3.0,17-Feb,41.66,7.65,32.6,,,
B Muzarabani (ZIM),2022-2022,8.0,26.0,,156.0,199.0,12.0,23-Mar,16.58,7.65,13.0,,,
Mohammad Nabi (AFG),2022-2022,3.0,6.0,,36.0,46.0,1.0,16-Jan,46.0,7.66,36.0,,,
BFW de Leede (NED),2022-2022,8.0,22.0,,132.0,169.0,13.0,19-Mar,13.0,7.68,10.1,,,
MA Wood (ENG),2022-2022,4.0,14.0,,84.0,108.0,9.0,26-Mar,12.0,7.71,9.3,,,
Arshdeep Singh (IND),2022-2022,6.0,20.0,,120.0,156.0,10.0,Mar-32,15.6,7.8,12.0,,,
AJ Hosein (WI),2022-2022,3.0,12.0,,72.0,94.0,2.0,25-Jan,47.0,7.83,36.0,,,
GJ Delany (IRE),2022-2022,7.0,23.3,,141.0,185.0,6.0,16-Mar,30.83,7.87,23.5,,,
Junaid Siddique (UAE),2022-2022,3.0,12.0,,72.0,95.0,4.0,24-Mar,23.75,7.91,18.0,,,
C Karunaratne (SL),2022-2022,7.0,18.0,,108.0,144.0,3.0,20-Jan,48.0,8.0,36.0,,,
LS Livingstone (ENG),2022-2022,6.0,12.0,,72.0,96.0,3.0,17-Mar,32.0,8.0,24.0,,,
Shariz Ahmad (NED),2022-2022,2.0,4.0,,24.0,32.0,1.0,27-Jan,32.0,8.0,24.0,,,
HH Pandya (IND),2022-2022,6.0,18.0,,108.0,146.0,8.0,30-Mar,18.25,8.11,13.5,,,
B Evans (ZIM),2022-2022,2.0,7.0,,42.0,57.0,2.0,25-Feb,28.5,8.14,21.0,,,
R Ashwin (IND),2022-2022,6.0,19.0,,114.0,155.0,6.0,22-Mar,25.83,8.15,19.0,,,
PJ Cummins (AUS),2022-2022,4.0,16.0,,96.0,132.0,3.0,28-Feb,44.0,8.25,32.0,,,
JR Hazlewood (AUS),2022-2022,4.0,15.0,,90.0,124.0,5.0,Feb-33,24.8,8.26,18.0,,,
LH Ferguson (NZ),2022-2022,5.0,19.0,,114.0,159.0,7.0,22-Mar,22.71,8.36,16.2,,,
Hasan Mahmud (BAN),2022-2022,4.0,16.0,1,96.0,134.0,6.0,Mar-47,22.33,8.37,16.0,,,
MA Starc (AUS),2022-2022,3.0,12.0,1,72.0,102.0,3.0,Feb-43,34.0,8.5,24.0,,,
CAK Rajitha (SL),2022-2022,3.0,11.0,,66.0,94.0,3.0,23-Feb,31.33,8.54,22.0,,,
CR Woakes (ENG),2022-2022,6.0,20.0,,120.0,172.0,5.0,Feb-33,34.4,8.6,24.0,,,
AR Patel (IND),2022-2022,5.0,13.2,,80.0,115.0,3.0,18-Feb,38.33,8.62,26.6,,,
SM Sharif (SCOT),2022-2022,3.0,9.0,,54.0,78.0,2.0,23-Jan,39.0,8.66,27.0,,,
Simi Singh (IRE),2022-2022,4.0,9.0,,54.0,78.0,3.0,Feb-31,26.0,8.66,18.0,,,
CJ Jordan (ENG),2022-2022,2.0,8.0,,48.0,70.0,5.0,Mar-43,14.0,8.75,9.6,,,
Shakib Al Hasan (BAN),2022-2022,5.0,19.0,,114.0,167.0,6.0,Feb-33,27.83,8.78,19.0,,,
MR Adair (IRE),2022-2022,7.0,24.0,,144.0,212.0,4.0,Feb-39,53.0,8.83,36.0,,,
L Ngidi (SA),2022-2022,4.0,13.0,,78.0,116.0,7.0,29-Apr,16.57,8.92,11.1,1.0,,
BJ McCarthy (IRE),2022-2022,7.0,25.0,,150.0,227.0,5.0,29-Mar,45.4,9.08,30.0,,,
Mosaddek Hossain (BAN),2022-2022,5.0,7.0,,42.0,64.0,2.0,Feb-34,32.0,9.14,21.0,,,
C Campher (IRE),2022-2022,7.0,8.0,,48.0,74.0,2.0,9-Feb,37.0,9.25,24.0,,,
K Rabada (SA),2022-2022,5.0,16.0,,96.0,151.0,2.0,24-Jan,75.5,9.43,48.0,,,
OF Smith (WI),2022-2022,3.0,9.0,,54.0,85.0,2.0,31-Jan,42.5,9.44,27.0,,,
JH Davey (SCOT),2022-2022,3.0,10.0,,60.0,96.0,3.0,16-Feb,32.0,9.6,20.0,,,
RP Burl (ZIM),2022-2022,8.0,5.0,,30.0,48.0,,,,9.6,,,,
B Shikongo (NAM),2022-2022,3.0,5.0,1,30.0,48.0,3.0,22-Feb,16.0,9.6,10.0,,,
Adjust:Most recentPast weekPast MonthPast year4 years10 years25 years,,,,,,,,,,,,,,
